Year,France,Alsace,Aquitaine,Auvergne,Basse-Normandie,Bourgogne,Bretagne,Centre,Champagne-Ardenne,Corse,Franche-Comte,Haute-Normandie,Ile-de-France,Languedoc-Rousillon,Limousin,Lorraine,Midi-Pyrenees,Nord-Pas-de-Calais,Pays-de-la-Loire,Picardie,Poitou-Charentes,Provence-Alpes-Cote-d'Azur,Rhone-Alpes,Cayenne,Saint-laurent-du-maroni,Administrative unit not available,Administrative unit not available,Arrondissement_du_vent,Arrondissement_souse_le_vent,Fort-de-France,La Trinite,Le Marin,Saint-Pierre
2015,923.54,1250.49,883.46,1038.78,853.63,1001.84,868.46,910.4,964.51,447.07,1219.85,835.28,813.8,657.06,1035.08,1107.43,829.22,855.86,839.62,834.9,869.67,659.36,983.87,1105.52,1058.81,659.27,1167.28,960.02,937.6,712.91,718.41,737.28,703.91
2016,905.08,1207.72,879.4,1011.77,825.59,995.51,854.78,891.73,969.7,454.91,1209.52,814.68,838.69,642.29,993.2,1084.01,808.61,834.52,817.53,827.97,863.18,633.34,942.78,1129.16,1066.68,671.18,1212.39,1012.2,1017.95,827.84,826.54,822.07,829.97
2017,933.4,1272.99,899.64,1058.47,879.03,1036.58,900.73,929.19,958.37,423.79,1241.22,859.32,845.19,645.34,1044.14,1095.83,825.75,844.83,858.85,862.41,868.25,658.91,997.74,1153.86,1055.24,611.42,1297.32,958.88,952.15,718.08,721.67,733.96,712.22
2018,911.15,1301.9,875.35,1033.3,811.56,1023.32,827.18,889.69,987.02,433.77,1258.81,805.17,817.18,639.29,1018.47,1141.55,776.74,841.84,798.93,818.19,835.74,622.76,985.83,1084.87,982.65,613.24,1304.53,948.31,939.63,660,660.22,660.98,659.64
2019,950.85,1325.82,877.97,1079.52,882.57,1068.54,928.11,930.3,1024.76,450.43,1320.8,865.52,863.57,651.82,1045.14,1166.36,792.39,883.43,845.7,888.8,847.42,645.13,1027.6,1142.46,1023.75,649.37,1266.96,1003.78,1001.02,693.7,691.49,683.94,697.3
2020,928.88,1300.48,872.69,1036.51,882.09,1021.49,883.3,905.45,991.29,426.22,1293.58,843.8,830.37,618.99,1027.9,1158.85,791.33,876.84,847.06,862.85,872.82,585.13,969.25,1200.13,1127.17,675.94,1314.46,964.59,950.76,741.36,742.27,745.39,739.87
2021,923.3,1255.53,891.47,1070.17,821.61,1061.02,830.62,894.88,999.89,459.74,1260.71,829.56,833.18,628.12,1007.19,1128.15,824.58,852.86,796.57,839.49,826.52,652.58,986.46,1076.47,1029.09,592.82,1328.23,961.54,961.71,683.31,686.77,698.62,677.66
2022,931.33,1273.05,858.79,1068.4,818.45,1085.24,859.93,922.03,999.27,506.94,1288.15,801.31,854.59,670.48,1002.99,1123.62,804.98,837.87,813.02,852.71,857.83,679.31,1019.34,1096.18,1056.64,668.68,1168.41,883.58,882.69,696.96,697.3,698.47,696.41
2023,921.6,1262.92,877.78,1032.47,829.93,1065.34,859.2,890.1,990.47,496.22,1280.31,806.66,849.37,649.61,1004.97,1107.04,782.81,817.6,810.33,837.99,846.86,675.94,1014.64,1049.33,1015.68,709.5,1438.25,1027.31,1023.4,832.13,829.11,818.76,837.07
2024,969.98,1307.25,915.09,1107.91,902.06,1080.8,918,952.37,1049.59,483.05,1331.41,890.4,881.8,652.63,1048.02,1179.06,808.92,932.66,894.63,883.04,917.27,674.61,1036.18,1085.7,1065.94,626.64,1390.27,999.83,989.58,734.93,734.41,732.62,735.79
