Year,France,Alsace,Aquitaine,Auvergne,Basse-Normandie,Bourgogne,Bretagne,Centre,Champagne-Ardenne,Corse,Franche-Comte,Haute-Normandie,Ile-de-France,Languedoc-Rousillon,Limousin,Lorraine,Midi-Pyrenees,Nord-Pas-de-Calais,Pays-de-la-Loire,Picardie,Poitou-Charentes,Provence-Alpes-Cote-d'Azur,Rhone-Alpes,Cayenne,Saint-laurent-du-maroni,Administrative unit not available,Administrative unit not available,Arrondissement_du_vent,Arrondissement_souse_le_vent,Fort-de-France,La Trinite,Le Marin,Saint-Pierre
2015,12.07,9.91,13.84,11.08,12.31,11.71,12.93,12.44,12.02,15.69,11,11.84,12.33,13.29,12.8,11.14,12.49,11.79,13.22,12.3,13.87,14.37,11,26.22,26.43,26.63,26.71,23.63,24.19,26.96,26.91,26.75,27.03
2016,12.11,9.98,13.91,11.18,12.19,11.82,12.84,12.41,12,15.86,11.16,11.71,12.29,13.39,12.84,11.18,12.66,11.76,13.17,12.22,13.87,14.44,11.15,26.3,26.56,26.79,26.77,23.7,24.27,27.09,27.05,26.89,27.17
2017,12.16,9.97,13.99,11.19,12.28,11.82,12.88,12.49,12.07,15.85,11.15,11.82,12.39,13.45,12.87,11.23,12.7,11.78,13.27,12.3,13.92,14.54,11.15,26.42,26.68,26.66,26.89,23.73,24.29,26.98,26.94,26.78,27.06
2018,12.06,9.81,13.92,11.14,12.27,11.73,12.94,12.4,11.97,15.71,11.01,11.72,12.27,13.28,12.82,11.1,12.59,11.58,13.22,12.14,13.88,14.4,11.06,26.34,26.54,26.65,26.82,23.67,24.24,26.95,26.91,26.75,27.03
2019,12.15,9.94,14.05,11.24,12.28,11.8,12.97,12.49,11.93,15.83,11.03,11.72,12.32,13.58,12.92,11.09,12.87,11.62,13.29,12.18,13.97,14.62,11.15,26.49,26.75,26.73,26.86,23.69,24.26,27.03,26.99,26.83,27.11
2020,12.03,9.94,13.86,11.12,12.13,11.65,12.69,12.29,11.81,15.85,11.06,11.65,12.17,13.42,12.75,11.07,12.61,11.62,13.09,12.11,13.81,14.51,11.11,26.42,26.62,26.67,26.82,23.61,24.17,27.02,26.97,26.81,27.1
2021,12.22,10.01,14.11,11.27,12.37,11.81,13.07,12.5,12.06,15.95,11.14,11.84,12.4,13.62,12.92,11.19,12.86,11.74,13.36,12.3,13.99,14.69,11.27,26.46,26.65,26.78,26.9,23.85,24.42,27.05,27,26.84,27.12
2022,12.3,10.22,14,11.39,12.41,11.96,12.97,12.53,12.2,16.06,11.38,11.96,12.44,13.68,13.01,11.46,12.88,11.88,13.29,12.36,13.95,14.77,11.42,26.54,26.72,26.8,26.86,23.84,24.4,27.09,27.05,26.89,27.17
2023,12.03,9.77,13.96,11.07,12.2,11.64,12.93,12.3,11.79,15.88,10.96,11.64,12.13,13.43,12.77,10.96,12.66,11.53,13.17,12.05,13.86,14.58,11.11,26.59,26.83,26.8,26.9,23.9,24.47,27.1,27.05,26.89,27.17
2024,12.43,10.37,14.17,11.46,12.58,12.07,13.09,12.76,12.36,16.13,11.43,12.09,12.68,13.72,13.12,11.58,12.93,12.03,13.48,12.58,14.1,14.84,11.46,26.67,26.86,26.83,26.96,23.83,24.41,27.13,27.08,26.93,27.2
2025,12.23,10.03,14.05,11.29,12.34,11.9,13.01,12.56,12.11,16.07,11.22,11.85,12.42,13.55,12.97,11.26,12.81,11.81,13.29,12.32,13.97,14.69,11.28,26.56,26.86,26.86,26.98,23.79,24.33,27.1,27.06,26.9,27.18
2026,12.47,10.45,14.21,11.65,12.5,12.19,13.02,12.76,12.39,16.22,11.55,12.09,12.6,13.83,13.2,11.63,13.08,11.94,13.39,12.54,14.07,14.95,11.58,26.69,26.95,26.94,27.03,23.88,24.46,27.18,27.14,26.98,27.26
2027,12.38,10.23,14.14,11.42,12.49,12.07,13.08,12.71,12.3,16.06,11.43,11.99,12.62,13.68,13.07,11.48,12.87,12.02,13.44,12.54,14.11,14.79,11.41,26.83,27.13,27.02,27.04,23.84,24.4,27.27,27.23,27.07,27.35
2028,12.45,10.22,14.26,11.51,12.58,12.27,13.17,12.87,12.48,16.18,11.54,11.94,12.73,13.73,13.19,11.48,12.97,11.94,13.52,12.47,14.2,14.85,11.44,26.82,27.08,26.97,27.02,23.96,24.53,27.22,27.18,27.02,27.3
2029,12.38,10.18,14.2,11.46,12.46,12.1,13.02,12.73,12.27,16.08,11.38,12.03,12.61,13.71,13.11,11.42,12.97,11.99,13.41,12.49,14.11,14.76,11.41,26.81,26.98,27.09,27.06,23.93,24.5,27.33,27.28,27.12,27.41
2030,12.4,10.19,14.26,11.51,12.49,12.08,13.1,12.7,12.28,16.14,11.35,11.98,12.57,13.75,13.18,11.45,13.04,11.94,13.41,12.48,14.14,14.85,11.42,26.94,27.18,27.08,27.16,24.05,24.6,27.43,27.38,27.22,27.5
2031,12.52,10.24,14.4,11.69,12.58,12.21,13.13,12.9,12.27,16.24,11.49,12,12.7,13.91,13.36,11.48,13.16,11.92,13.54,12.44,14.33,14.99,11.69,27.09,27.35,27.08,27.18,24.13,24.7,27.37,27.32,27.16,27.44
2032,12.55,10.35,14.4,11.62,12.71,12.19,13.29,12.92,12.33,16.28,11.51,12.18,12.74,13.95,13.34,11.57,13.2,12.02,13.69,12.59,14.36,14.96,11.58,26.85,27.12,27.06,27.19,24.05,24.61,27.38,27.34,27.18,27.46
2033,12.52,10.35,14.36,11.5,12.67,12.09,13.2,12.79,12.39,16.25,11.51,12.17,12.67,13.92,13.19,11.53,13.16,12.08,13.56,12.67,14.18,14.97,11.6,26.72,26.97,27.05,27.11,24.13,24.71,27.35,27.31,27.15,27.43
